x,y,Clay,SOC,pH,CEC
13.13955,47.85471,21,28.3,5.77,20.3
13.12746,47.65689,22,107.3,7.09,36.2
13.12637,47.63895,32,43.9,6.1,26.5
13.13838,48.26915,20,17.9,7.42,13.9
13.13535,48.21432,18,15.9,7.56,13.3
13.12828,48.10713,23,54.7,3.81,16.3
13.08048,47.31598,17,36.6,6.16,9.5
13.09374,47.98207,0,275.4,5.15,35.8
13.05302,47.74907,34,45.1,5.66,18.2
13.02762,47.31747,12,26.2,6.65,9
13.04025,47.98355,18,32.3,5.69,14.1
12.96444,46.67059,21,90,3.98,9.8
13.01346,47.9843,23,38.9,5.42,17.8
13.00924,47.91238,23,43.5,5.39,16.9
12.99412,48.1109,19,25.5,5.1,11.3
12.98563,47.967,28,66.8,4.14,15.9
12.93524,48.02244,5,26.3,7.06,7.2
12.88688,48.11377,16,84.5,4.14,9.9
12.81553,46.81876,5,22.9,7.45,13.7
12.86008,48.13265,10,12.4,5.83,7
12.82209,47.43106,27,24.5,6.16,11.8
12.79371,47.39576,26,51.5,5.31,8.5
12.76157,47.28853,8,17.6,5.07,5.1
12.73808,46.83878,15,28.7,6.57,11.7
12.7427,47.43309,20,52.1,5.14,10.9
12.70099,47.6503,61,122.9,6.54,73.4
12.69729,47.57832,0,230.4,4.72,26.5
12.52298,47.27631,9,48.5,5.98,9.7
12.507,47.4928,12,40.5,6.03,12.9
12.45483,47.512,27,22.2,4.32,13.8
12.37611,47.53175,16,53.2,4.66,8.4
12.27467,47.64195,26,45.3,5.52,15.3
12.25739,47.24611,7,27.5,5.9,6.7
12.21611,47.51712,24,32.6,5.47,5.5
12.08202,47.48372,15,35.9,7.04,13.9
11.89512,47.45112,18,83.5,7.04,28.2
11.89316,47.39716,10,34,7.27,13.5
11.86277,47.28965,0,204.9,5.26,32.4
11.76021,47.38139,10,35.4,7.17,19.6
11.65205,47.31105,17,27.4,6.21,15
11.5453,47.27654,10,45.8,4.53,10.5
11.43864,47.24208,15,61.7,6.29,24.1
11.33359,47.26135,20,48.1,7.39,30.7
11.22838,47.2807,0,364.6,6.57,101.9
11.09741,47.31815,7,133.3,6.82,55.7
10.99066,47.28307,12,31.4,7.69,16.7
10.77904,47.2668,23,135.7,6.95,56.5
10.64924,47.44769,44,144.7,7.01,59.2
9.96028,47.3236,31,36.8,5.87,19.9
9.93373,47.46759,27,22.6,4.82,12
9.88052,47.53955,22,38.5,6.72,26.3
9.88063,47.48558,41,25.3,7.32,33.9
9.88083,47.43153,30,32.9,5.61,17.7
9.88103,47.37762,54,51.3,6.37,24.5
9.80246,47.1434,24,105.9,3.74,14.6
9.7478,47.53933,23,40.4,6.95,25.2
9.7487,47.44873,11,41.7,4.52,8
9.7485,47.39535,11,106.7,3.57,11.2
9.72177,47.44927,21,27.2,7.51,24.3
9.69669,47.19718,33,27.4,4.06,14.7
9.66943,47.34109,43,67.9,6.33,29
9.64305,47.323,26,36.4,5.78,18.4
9.64397,47.19698,36,33.2,5.58,18.5
