x,y,Clay,SOC,pH,CEC
14.78924,48.89452,13,12.1,6.64,7.5
14.82168,49.50584,20,21.5,4.44,6.7
14.75845,48.85981,15,63.4,4.01,8.5
14.8407,49.9734,16,10.5,4.96,6.4
14.79585,49.52491,10,14.3,5.69,6.8
14.71424,48.68147,11,61.5,4.19,8.8
14.87126,50.81874,14,18.9,4.91,3.3
14.83778,50.49592,6,11.3,5.69,4.7
14.82125,50.3345,23,12.1,7.52,16.1
14.79402,50.06545,24,13.7,7.54,18
14.76888,49.81433,15,17,5.57,11.6
14.72501,49.36573,19,11.7,5.76,9.9
14.78596,50.26394,5,4.6,4.47,2.5
14.69581,49.34894,8,33.9,4.27,5.1
14.71697,49.85252,9,13.7,5.58,7.1
14.70129,49.69093,15,15.8,5.06,5.6
14.6821,49.49365,12,51.8,7.2,18.2
14.72343,50.48268,19,12.6,6.65,15
14.7073,50.32124,21,9.6,6.28,10.1
14.62356,49.46004,17,8.1,6.49,12.3
14.59311,49.13701,16,14,7.25,10.9
14.72415,50.77083,11,13.3,5.91,9.8
14.72052,50.73495,9,12.1,6.88,9.5
14.60975,49.60429,15,22.6,5.77,9.4
14.54916,48.95863,14,13.2,5.39,7.8
14.63544,50.16207,30,17.5,7.47,22.8
14.64081,50.50407,17,13.4,5.48,10.1
14.60924,50.18115,23,21.1,6.42,16.3
14.5902,49.98379,24,15.7,6.56,16.1
14.56624,49.73257,4,7,6.05,4.9
14.5169,49.1764,23,16.6,6.91,11.6
14.50279,49.0506,14,18.9,4.29,10.6
14.49138,48.92492,27,19.9,5.5,12.3
14.45442,48.8183,22,20.3,6.04,12
14.61626,50.82924,17,43.1,3.91,8.4
14.51283,49.75294,26,11,6.98,17
14.49254,49.53738,20,23.3,6.05,14.5
14.43366,48.89121,27,19.4,5.72,9.1
14.42408,48.78347,21,69.7,3.94,12
14.41926,48.72962,8,11.8,5.03,6
14.5033,49.95124,25,10,6.4,14.8
14.44356,49.30515,20,10,6.5,9.8
14.43407,49.50369,12,20.8,5.8,8.8
14.4225,49.378,15,19.6,4,8.6
14.39353,49.05493,25,12.2,6.97,13.8
14.39836,49.41502,18,20.5,6.56,12.7
14.38386,49.25346,11,28.9,4.41,8.7
14.50116,50.81576,17,66.1,5.93,20.9
14.40175,49.75712,10,17.1,4.31,4.2
14.38055,49.5238,17,20.8,6.45,13.7
14.48493,50.94244,16,22,5.19,8.6
