x,y,Clay,SOC,pH,CEC
12.07504,47.96999,31,83.7,6.19,35.2
12.06628,47.75413,41,41.1,6.39,24.4
12.22712,51.979,6,62,4.53,10.7
12.31811,54.27878,6,28.2,5.58,9.2
12.30913,54.11712,4,15.5,3.95,3.2
12.06098,48.94224,29,12.9,7.09,17.6
12.02149,47.97101,18,197.3,6.87,73.7
12.24494,53.48903,5,8.8,6.07,4.2
12.24306,53.45311,5,6.7,6.54,4.9
12.19717,52.55501,4,27.6,6.91,8.5
12.18796,52.39324,7,18,5.98,9.6
12.17253,51.99807,4,12.6,7.07,3.8
12.14676,51.51301,14,14.1,6.95,13.3
12.14079,51.38718,13,22.3,6.79,12.9
12.03588,48.99667,20,12.9,7.25,14.2
11.98775,47.79159,31,68.9,7.13,40.8
12.14673,52.12434,4,8.4,6.64,4.3
12.13125,51.80095,4,14.5,6.34,7.4
12.12374,51.63926,14,28,7.14,16.3
12.05181,50.02116,12,17.2,6.71,8.7
11.99121,48.56554,26,11,7.53,19
12.16655,53.13086,8,19.9,5.85,6.2
12.11467,52.03561,5,13.9,7.18,7.3
12.10574,51.87334,3,11.6,4.72,4.5
12.0985,51.71151,15,8.3,7.75,10.5
12.09165,51.51395,20,13.7,7.81,15.6
12.07112,51.06531,23,12,8.14,15.9
12.05443,50.74131,28,28,6.21,15.4
12.04739,50.57956,25,28.3,6.27,12.1
11.99506,49.33932,14,7.9,7.39,10.4
11.97549,48.85377,27,14.5,7.74,18.2
11.95434,48.31425,14,11.2,7.51,12.2
11.93779,47.8825,28,33.5,6.16,24.6
12.17845,53.95771,4,7.4,5.15,3
12.14558,53.31103,8,14.7,6.49,8.7
12.12157,52.82586,4,19.9,5.18,3.7
12.10602,52.50248,5,9.1,4.29,2.9
12.1037,52.44875,3,23.7,3.77,4
12.10067,53.00615,6,8.1,7.47,5
12.07755,52.52113,16,37.8,6.05,19.5
12.06831,52.32352,5,20.3,5.01,3.9
12.00471,50.90406,12,16.7,6.78,8.8
12.00314,50.86808,12,13,3.94,6.1
11.97066,50.09529,21,25,5.89,9.3
11.91757,48.76482,24,13.8,7.65,19
11.91272,48.63892,21,17.6,7.56,17.4
11.90656,48.47706,22,12.3,7.44,17.5
12.10587,53.72524,10,10.9,6.39,6.3
12.1041,53.68931,3,6.3,6.7,3.2
12.06665,52.91687,2,5.7,5.15,2.3
12.04208,52.39593,21,15.6,7.46,18.8
12.04045,52.26812,4,7,6.03,1
12.03486,52.23421,4,11,4.99,3.6
12.02837,52.10851,5,13.5,6.92,7.3
11.95076,50.29348,18,17.1,7.19,16
11.92461,49.64634,11,23.8,5.49,8.8
11.87015,48.22569,27,21,6.46,18.4
11.98773,51.80533,20,17,7.48,17.4
11.9774,51.60648,19,14.7,6.75,13.3
11.97465,51.53397,15,16.8,7.31,16
11.96767,51.37225,18,17.8,7.2,14.4
11.95879,51.15611,22,16.3,6.6,16.4
11.94488,50.83314,24,22.8,6.59,15.9
11.90543,49.86253,20,23,5.7,8.4
11.87403,49.05348,36,20.5,7.5,22.8
11.86653,48.85553,22,10.9,7.51,15.1
12.05841,53.99573,9,9.2,6.38,5.8
12.04704,53.7622,5,11.6,7.08,5.8
12.0239,53.27717,6,25.6,4.11,5.6
12.00721,52.91786,2,18.3,4.02,2.8
12.00141,52.79214,14,13.9,6.66,10.5
11.9859,52.43278,20,50.5,5.23,15.1
11.9652,51.98383,7,9.5,6.56,4
11.92287,51.01389,20,16.5,7.12,12.9
11.92203,50.978,16,19.8,6.97,15.7
11.91571,50.81564,7,17.5,3.69,7
11.87832,49.88097,44,33.7,7.61,24.6
12.00315,53.47527,7,17.9,6.1,7.3
11.95159,52.34434,7,10.6,6.59,5.7
11.92974,51.85921,8,13.5,6.7,4.3
11.84566,49.75562,7,10.3,6.17,7.5
11.78743,48.1368,22,28.3,7.84,24.1
11.96645,53.33205,3,20.4,4.52,2.5
11.94614,52.88291,21,55.7,5.97,16.8
11.93028,52.52361,29,24.9,5.46,19
11.87564,51.22992,23,17.5,7.78,20.5
11.81253,49.61221,30,36.8,5.9,13.4
11.8065,49.4504,18,11.3,7.12,10.2
11.77019,48.4433,22,33.8,7.52,27.5
11.74769,47.79567,26,45.7,5.23,13.5
11.97034,54.06907,12,10.6,6.32,6.3
11.89082,52.29049,3,10.6,5.17,3.3
11.88328,52.12881,9,12.3,6.25,6.3
11.81874,50.51148,22,27.6,6.46,14.3
11.78223,49.54073,18,22.9,6.53,9.6
11.89783,53.13538,4,13.9,5.6,6
11.85218,52.09336,5,13.6,7.29,9.4
11.84707,51.8782,16,13.3,6.72,12.8
11.83709,51.67995,24,21.1,7.36,18.9
11.81382,51.12295,20,10.5,7.87,16
11.80781,50.96124,53,24.9,7.59,28.7
11.79331,50.58381,27,24.6,7.13,21.4
11.77703,50.15242,16,30.5,5.18,7.3
11.73853,49.09164,24,21.7,6.49,16.9
11.72848,48.8039,23,38.2,8.14,24.4
11.72164,48.60605,27,17.9,6.77,14.7
11.71366,48.37221,40,63.4,7.65,55.3
11.7106,48.28228,28,68.1,7.58,50.9
11.84787,52.66877,4,11.5,5.71,5.5
11.85885,53.62139,10,6.2,7.42,9.1
11.84485,53.29803,6,7.9,5.99,4.2
11.83948,53.17226,5,7.9,6.28,5.6
11.81245,52.52544,5,5.6,6.12,5.1
11.799279,52.20204,4,13.3,5.98,3.7
11.797831,52.166104,10,4.3,7.82,7.9
11.792785,52.040327,28,32.4,4.87,16.7
11.77857,51.68095,31,20.4,8.3,20.5
11.75986,51.19577,22,139.1,7.6,66.3
11.68502,49.12844,26,22.7,7.11,17.7
11.84741,54.05301,8,12.1,6.7,6.3
11.84031,53.89132,13,9.2,6.08,6.6
11.8248,53.53201,14,11.9,6.2,8.2
11.75874,51.915,15,10.9,7.95,14
11.75244,51.75327,19,19.6,8.09,19.3
11.73525,51.30401,22,15.7,8.04,21.6
11.64389,48.71519,6,6.2,5.58,3.5
11.6333,48.39143,15,10.3,6.24,6.8
11.8107,53.90975,10,19.7,6.95,13.9
11.72193,51.86258,24,31.6,7.95,29.3
11.71939,51.64613,22,17.3,7.69,17.5
11.69754,51.05214,26,18.3,7.75,20.9
11.67781,50.51362,18,25.7,5.53,9.1
11.66075,50.02828,28,25.4,6.07,17.5
11.65145,49.7586,17,23.5,5.35,4.7
11.60859,48.46376,13,15,6.61,8.1
11.709474,52.149434,31,17.7,5.56,15.2
11.706046,52.05959,26,14.5,7.4,19.9
11.69989,51.89789,16,14.8,7.84,18.5
11.68513,51.50252,21,28.5,7.52,22.4
11.68384,51.46659,17,40.4,7.59,21
11.67202,51.1431,24,13.3,7.58,18.9
11.66585,50.98064,22,20.7,7.88,17.2
11.66427,50.92743,38,17.1,7.87,19.4
11.66037,50.81952,9,8.9,4.16,4.2
11.65466,50.65784,21,15.3,6.41,8.2
11.59821,48.98577,26,17.3,7.16,14.6
11.59473,48.87788,26,18.2,7.69,20.6
11.59299,48.82387,23,20.1,7.95,20.3
11.5844,48.55412,20,14.9,7.06,15.2
11.57424,48.2303,19,37.7,7.56,25.1
11.75208,53.96453,31,171.5,5.8,68.4
11.6518,51.37715,21,17.4,7.07,16.5
11.60134,49.9212,14,10.4,6.06,8.3
