x,y,Clay,SOC,pH,CEC
21.39197,51.17308,5,8.5,4.52,3.8
21.35234,51.01366,3,11.3,4.76,1
21.34359,50.97816,3,6.7,4.51,1
21.31312,50.85406,11,8,6.05,7
21.15059,50.18007,9,11.5,6.02,7
21.13381,50.10909,2,41,3.9,5.6
21.05916,49.78963,19,9.4,4.87,7.7
21.03863,49.70089,14,13.7,4.64,6.2
21.58991,52.06192,2,12.4,4.97,2.9
21.46641,51.58359,2,7.4,5.3,1
21.30667,50.94547,6,3.6,7.89,7.9
22.10856,54.04678,12,7.7,6.81,6
22.06225,53.88765,4,18.3,5.57,1
21.61221,52.25959,1,4.4,4.92,1
21.41539,51.49779,1,49.1,3.71,4.2
21.37525,51.33827,3,13.8,7.39,14.3
21.20947,50.66452,3,5.2,5.35,1
22.13544,54.24426,8,32.9,4.14,6.5
22.09565,54.12153,6,17.3,6.66,7.5
22.00669,53.80221,3,19.3,4.63,7.2
21.73927,52.84665,6,13,4.51,1
21.68683,52.65203,0,250.2,5.84,88.3
21.44537,51.73099,19,10.3,7.36,17.8
21.23732,50.8978,9,11.7,6.41,6.6
21.13035,50.45436,8,7.1,5.49,3.6
21.09247,50.29468,3,5.6,7.43,3.4
21.0549,50.13498,7,9.5,4.02,1
21.01763,49.97523,12,10.9,6.26,7.9
22.02769,53.98202,5,16.1,6.68,7.4
21.64341,52.60178,11,35.6,5.9,11.7
21.10669,50.47482,8,20.9,5.48,7.8
21.46989,52.05555,4,12.5,5.13,2.8
21.09987,50.56626,2,4.6,4.87,7.6
21.083,50.49528,31,25.3,4.74,17
21.98278,54.04102,9,13.1,5.76,3.7
21.80199,53.40414,4,13.4,5.5,11.8
21.67063,52.92621,3,6.9,4.85,2.3
21.02573,50.37377,24,15.5,6.15,16.1
22.0039,54.22084,20,9,6.48,12.1
21.90184,53.86709,6,12.4,4.29,5.3
21.68935,53.10613,2,9.4,5.72,2.6
21.67968,53.07073,8,71,6.95,28.5
21.64601,52.9468,10,14.3,7.5,15.3
21.46722,52.27383,3,16.8,5.36,6.8
21.38487,51.95485,4,7.7,6.57,4.8
21.32181,51.70672,4,9.9,4.4,3.4
21.27283,51.51172,3,10.2,4.44,3.2
21.11613,50.87329,8,27.7,7.58,20.5
20.95641,50.19897,7,11.6,6.77,7.6
20.93582,50.11023,5,11.4,5.75,4.6
20.88271,49.87941,14,17.2,5.55,11.8
21.4706,52.40061,12,192.3,4.22,25.7
21.14813,51.12436,5,10.4,4.14,6.5
20.88359,50.00636,22,16.9,6.13,15.2
20.84698,49.84649,14,10.3,5.45,9.9
21.91207,54.12094,5,37,5.87,28.6
21.89738,54.06757,5,21.4,5.95,6.5
21.57763,52.91711,6,10.9,5.8,1
21.54442,52.79314,4,14.6,4.65,6.8
21.51616,52.68688,4,25.9,4.38,7.3
21.4601,52.4743,2,9.1,4.77,3.1
21.37724,52.1554,2,15.4,6.2,3.3
21.2958,51.83635,8,10.2,5.18,3.1
21.28683,51.80089,4,7.1,4.45,3
21.1763,51.35765,10,10.6,5.28,4.8
21.15015,51.25124,2,8.1,5.33,1
21.07265,50.93194,12,13.8,6.23,12.6
21.49625,52.72515,0,397.9,5.11,74.9
21.30301,51.98094,17,10.5,5.17,10.6
20.97682,50.65075,2,6.7,4.41,1
20.9393,50.49105,4,11.8,5.97,6.1
21.69245,53.56023,1,10.9,4.07,1
21.64843,53.40092,7,39.1,5.5,14.6
21.15875,51.52294,2,11.1,4.83,2.8
20.95718,50.688927,3,8.3,4.66,2.4
20.77241,49.89,11,11.9,5.41,7.6
21.59451,53.31525,0,251.3,6.15,105.2
21.1874,51.756,1,12.6,4.24,4.3
21.06934,51.27715,4,9.6,5.97,5.7
20.76896,49.99919,2,29.6,3.93,5
21.84758,54.32701,9,11.7,5.74,5.8
21.77157,54.0616,7,19.3,5.81,9
21.7116,53.84922,14,20.9,6.9,13.4
21.36662,52.57415,5,8.3,4.82,3.2
21.33898,52.46782,3,10.9,4.49,1
21.0195,51.19116,4,9.3,4.55,2.2
20.78171,50.1794,31,21.3,6.7,19.7
21.70641,53.94062,10,7.8,5.82,4.8
21.44468,52.98444,2,5.6,5.07,1
21.05117,51.4421,7,10,6.28,5.6
21.01261,51.28257,3,4,6.02,2.8
20.84814,50.59043,2,6.8,5.36,2.8
21.66636,53.90811,12,8,7.56,8.3
21.40581,52.95183,7,17.8,6.41,13.9
21.36375,52.79237,8,38.2,5.81,25.5
20.77498,50.39778,32,22.2,6.78,17.9
21.74127,54.28268,14,21.2,5.75,13.3
21.28821,52.61795,4,10.9,5.39,3.8
21.24701,52.45843,4,10.4,4.38,2.2
21.12562,51.97976,1,10.5,4.38,2.1
20.7963,50.61348,6,7.2,5.93,4.7
20.72272,50.29386,18,11.3,6.63,12.4
20.67836,50.09849,19,23.6,6.49,15.2
20.65035,49.97414,22,37.2,4.8,13.2
20.93188,51.30844,16,5.2,5.48,5.8
21.49315,53.6157,3,15.2,4.77,11.9
21.44982,53.4563,10,80.5,5.73,1
21.37846,53.19058,2,1,5.05,1
21.15715,52.33993,2,14.3,5.17,3.6
21.06797,51.98524,1,16.1,4.46,3
21.01094,51.75463,7,17.8,6.58,9.7
20.9504,51.50622,7,7,6.4,6
20.89473,51.27558,2,11.6,4.66,3.2
20.69541,50.42343,37,29.7,7.42,35.5
20.59908,49.99709,1,14.9,4.56,4.3
20.52822,49.67723,46,33.4,7.61,7.9
20.48163,49.46395,13,38.1,3.71,11.4
21.62021,54.18517,21,24.5,5.51,13.9
21.546,53.91959,5,10.2,7.27,6.8
21.24638,52.80352,3,13.9,4.4,3.5
21.2326,52.75035,10,39.4,6.62,24.1
21.16416,52.48445,6,19.9,5.37,10.3
20.81158,51.0475,4,12.1,4.79,1
20.52025,49.76867,33,22.7,5.16,17.1
20.47356,49.55539,16,16.6,4.95,8.4
21.5208,53.94015,12,4.8,7.61,28.6
21.33811,53.26707,0,433.9,4.52,75.3
20.82528,51.22766,5,10.6,5,3.4
20.5596,50.07332,2,41.4,4.01,4.8
21.55468,54.17319,16,11.2,6.24,7.1
21.33673,53.37616,5,54.3,6.29,22.8
21.21064,52.89768,5,10.2,4.79,1
20.9292,51.78046,4,9.1,5.96,3.4
20.61978,50.46677,5,5.6,4.54,10.2
21.06329,52.43947,3,21.6,5.34,4.7
20.80221,51.37496,3,12.7,6.99,7.5
20.65298,50.73582,2,6.6,6.36,3.6
20.43767,49.77635,26,31.8,6.78,20.1
20.42605,49.72303,23,22.7,4.86,11.1
20.40288,49.61637,21,20,4.4,9.2
21.49411,54.17891,32,19.4,6.97,15.1
20.95004,52.10519,17,34.1,4.66,24.3
20.59619,50.61407,21,19.9,7.74,20.5
20.55992,50.45418,13,42.8,6.97,19.5
20.52396,50.29429,20,19.7,6.67,13.5
20.31443,49.3344,19,25,7.07,20.7
21.50332,54.32342,8,6.7,7.15,5.7
21.14075,52.97685,4,12.1,5.5,2.3
21.01841,52.49809,4,11.7,4.35,1
20.52399,50.42123,13,10.6,8.03,12.5
21.37018,53.95431,10,19.8,7.12,14.3
21.28379,53.63539,2,13.3,4.5,8.3
21.24126,53.47592,8,66.9,5.41,21.3
21.16652,53.19234,7,110.7,5.51,29.7
20.80581,51.75565,6,11.4,6.88,5.1
20.75898,51.56041,8,9.4,7.21,10.8
20.50809,50.47709,0,13.5,4.36,3.6
20.4289,50.12171,29,18.8,5.27,13.6
20.39376,49.96174,16,13.3,5.34,8.3
20.36663,49.83731,34,16.9,5.65,18.4
21.235,53.5673,2,11,6.18,2.3
21.19269,53.40779,3,14,4.99,1
20.94676,52.45032,6,10.6,4.31,1
21.35345,54.11937,16,14.7,5.09,8.2
21.32437,54.01307,8,8.2,5.1,4.3
